甲骨文字,龜甲文
門冬正果,麥門冬正果
神仙,仙者
敗北,敗走
國會,國民議會
丹藥,仙丹
愚鈍,愚魯
軍醫官,軍醫
內外兄弟,中表兄弟
電話筒,電話機
圖免,規免
股戰,股慄
果物廛,毛廛
亭子,舍亭
宮寢,九禁
臚列,陣列
連接桿,接合棒
保護稅,保護關稅
壯言,壯語
保釋金,保釋保證金
武藝別監,武監
脫套,脫習
嬌姿,嬌態
伺望,遠候
赤山院,法華院
發行株,發行株式
鳳兒,鳳雛
紫貂,黑貂
驅水,排水
紅蕉,美人蕉
發途,發程
口頭禪,口頭三昧
陶工,陶人
霪雨,長雨
交換局,交換局所
壽宴,賀壽筵
合根,合宮
警邏,警巡
土皮,地皮
倂耕,竝耕
接待室,應接室
觀掌術,手相術
金釵股,金銀藤
風向,風信
高句麗,稾離
風症,風病
與受,授受
三惡道,三道
黃鶯兒,黃金鳥
常典,常規
個體名辭,單獨槪念
下吏,吏胥
翠菊,唐菊花
赤綠色盲,紅綠色盲
黃華,黃花
蚰蜒,䖡蚭
公式許願,公的誓願
同延槪念,等値槪念
時鳥,不如歸
作病,虛病
畫劇,劇畫
凌夷,陵夷
墳墓,冢墓
善醫,良醫
乞食,流離丐乞
宮女,侍女
寒鳥,冬鳥
藥園,藥圃
早種,早稻
痳絲,淋絲
汽力發電,火力發電
歇所廳,歇宿廳
櫻桃,鶯桃
疆界,疆境
加羅國,伽倻
騈文,儷文
姻兄,姊壻
五天,五印度
自殺,自盡
破門,棄絶
數年,積年
眸子,矑子
永劫,轉瞬
無限量,微妙
私財,私資
無際,無限際
羽鱗,秀魚
連牆接屋,接屋連墻
貸給,貸與
元子,丕子
熟練,調鍊
往生論,淨土論
汛地,信地
條蟲,條蟲類
閻羅王,閻魔
取汗劑,發汗劑
先年,昔年
降車口,下車口
風采,風姿
燈浮標,燈標
學房,書堂
名譽,恥辱
佑助,補佐
食不甘,食不甘味
屠人,庖丁
援救,救援
餓死,飢死
匝干,迊湌
短形時調,短時調
米泔水,白水
飛湍,急流
名目,名號
寺院,佛刹
半陶半瓷,半磁器
龍床,龍平床
瘠薄地,荒土
牛漢,星漢
沙錫,砂錫
彌陀山林,淨土山林
中華民國,臺灣
大倫,大道
古雛加,古鄒加
碁壇,棋壇
朔單,朔茶禮
逃亡者,逃走者
遠志,棘菀
眼瞼炎,偸鍼
米包,㐘負袋
流頭日,流頭
愆納,滯納
廣城鎭,廣城堡
靡寧,靡寧
重泉,幽冥
苦鹽,滷水
伊伐飡,干罰飡
唾線,唾液腺
名案,奇案
生擒,禽獲
銘念,銘心
轉韻,換韻
死骸,屍軀
妄語,虛說
大小祥,練祥
闕本,零簡
飜譯機械,自動飜譯機
英發,英拔
規免,圖免
大德,名僧
山神靈,山神
流星,飛星
乘輿,龍車
阿從,媚悅
暴徒,暴徒
滑氷,氷滑
讜論,正論
公明,大公至平
砂利,沙礫
昔歲,去歲
杜魄,時鳥
美林,桂林
土螽,蠰螇
綾織物,綾織
有身,成胎
楊風雲傳,梁風雲傳
昭昭白髮,皜皜白髮
地府,冥國
官況,廩料
側面器,面積計
猪水,瀦水
黃褐候,鳴鳩
酸毒症,酸性病
拷打,拷掠
九空,九萬長天
海水浴,潮浴
庫房,倉廩
摩耗,磨耗
浴湯,沐浴湯
龜裂,龜裂
極南,窮南
水芹,芹菜
山鴞,鵂鶹
手札,手書
柞木,簿羅樹
達者,達人
舞蹈,舞蹈曲
內官,宦者
內閣,國務委員
裁判解釋,司法解釋
松煙,松烟
白殭蠶,白殭
褊裨,偏將
長庚星,啓明星
前拂費用,先給費用
虛熱,虛火
倭料理,倭食
磁胎,瓷胎
釀酒場,酒造場
乞士,和合僧
宿念,宿願
御印,國璽
掃蕩,掃壤
婚需,費用
從此以後,從玆以往
甲邊,甲士
原核生物,前核生物
枸骨,猫兒刺
續梁,退梁
脚骨,下肢骨
致辭,致語
悼歌,輓歌
緊札,緊簡
結聯,尾聯
獨擔當,獨擔
明亮,亮明
童子,玉童
炙鐵,鐵灸
印影,印文
水楊,藤柳
脫粒機,脫穀機
恒星週期,恒星期
玉莖,玉根
打路神,開路神
採種圃,採種圃田
書籍商,書賈
石蜂,石蠹蛾
深居,蟄居
玉釵,玉簪
印形,判印
羽類,羽屬
融解,溶解
烝溜,蒸溜
蝕旣,食旣
畫像,繪像
千僧供養,千僧齋
出群,出衆
先入見,先入之語
十王廳,玄宅
標準液,標準溶液
仙侶調,仙侶
鼓車,滑車
占術家,卜者
近海漁業,沿岸漁業
沈慮,沈思
兇毒,凶毒
大道,宏謀
饌需,饌物
弓箭色,弓箭房
倉庫,府庫
陣列,臚列
着工,起工
矇瞽,盲眼
三陟,三陟市
御駕,大駕
堂姪婿,堂姪壻
按配,按排
東南風,南東風
沃土,薄土
結果枝,發育枝
病沒者,病死者
恒星表,星表
雙六,象陸
棋峙,棊峙
因果律,自然法則
肇國,建國
被逮,被捉
丹石,瑪瑙
鑽仰,讚仰
障礙,妨礙
自花受精,自花受紛
書典,典籍
標語文字,單語文字
繼樑,退梁
心膜炎,心囊炎
毒政,酷政
地獄,奈落迦
滿殿春曲,滿殿春
配所,謫所
發起設立,引受設立
墓隧,墓道
死屍,屍軀
典品,典物
成文律,不文法
艾草,蓬蒿
落蔥,細蔥
別歲,守歲
鮟鱇魚,鮟鱇
鉢盂,應器
茶禮,茶禮
不倫,悖倫
南海石刻,徐巿題名刻子
無窮花,木槿
永離別,永別
筋肉感覺,筋覺
入墨,刺字
名案,神謀
醫方,醫術
比丘尼,尼僧
賓客,太子賓客
龜裂,龜坼
小夜曲,夜曲
雷魚,黑魚
商店,商廛
住家,住宅
石梯,石階
皮脂腺,脂肪腺
反對黨,敵黨
稟命,稟令
情趣,風情
判戶部事,判尙書戶部事
雎鳩,王鴡
雎鳩,魚鷹
鄙第,敝廬
賂謝,賂物
放漫,桀驁
浮袋,浮帶
項硬症,項硬
造泡寺,造泡所
向前,曩者
南星,天南星
奠儀,菲品
淸晨,黎明
淡水湖,淡湖
蘇蒡,蘇方
高苣,褊苣
楯狀,楯形
黃鼠,黃鼠狼
殿衙,衙府
器具主義,槪念道具說
苣蕂,巨勝
特旨,特敎
密書,祕文
咸平郡,咸平
開片,開片裂
喪事,喪變
生鐵,水鐵
二重窓,甲窓
蜀魂,鶗鴂
口頭辯論,口述辯論
瘠薄地,磽瘠
艾人,艾俑
妙策,至想
先進社會,後進社會
二十四技,二十四般武藝
論議,議論
豐年,儉年
聖週間,聖七日
宮妾,侍女
新約外傳,外典
殿堂,殿宇
土室,土屋
母妹,同母妹
濾光器,濾光板
事蹟,事迹
同訓鍊,同知訓鍊院事
胡說,胡言亂說
代理大使,臨時代理大使
注解,註解
奉公,奉職
盲驗,空試驗
汀渚,涯際
稚兒,幼者
盛炎,盛暑
上八十,前八十
南韓,南朝鮮
槧本,組版本
同根,兄弟
元日,元辰
復員令,動員令
護伽藍神,伽藍神
冪乘法,冪法
世尊,釋尊
菱鐵鑛,炭酸鐵鑛
粳米土,沙土
唱榜,放榜
私學年金,私立學校敎員年金
活力說,生氣說
循環器,脈管系
罫紙,印札紙
眞言宗,祕宗
施行規則,施行細則
夜中,夜半
早漏,早漏病
凱歌,凱旋歌
熟卞,熟地黃
電線柱,電杆木
萬壽,曼壽
列書,列錄
汚穢場,汚物場
要塞,要塞
濫造品,濫製品
頭質,對質
周燕,子規
下加羅國,金官國
界域,經界
文班,武班
黏體,粘體
優劣,勝劣
骨骼筋,骨格筋肉
速成栽培,促成栽培
靑穹,蒼空
淡綠色,淡綠
全跏坐,跏趺
兆朕,機微
豪農,大農
寸情,寸心
中山帽,中山帽子
一緊,要緊
硅肺病,硅素肺症
垓子,城壕
冥國,幽都
母系社會,母系中心社會
吐精,射精
京各司,各司
三伏,三庚
弦月,初月
到着,到達
津頭,渡口
高慢,矜伐
曉示,曉諭
義諦,議諦
缺本,散帙
圓舞曲,輪舞曲
坤宮,九禁
慈氏尊子,慈氏尊
七寶燒,景泰藍
水成巖,沈積巖
內行星,下遊星
一般法,特別法
屠漢,屠家
恒常性,恒常現象
革代,革世
木兔,土梟
小柹,紅梬棗
體育服,運動服
世界企業,國際企業
平均水面,平均海面
明君,明主
遏迦,功德水
懷裏,心裏
寶符,神符
巾笥,巾箱
禁止,許可
全反射,全體反射
飢饉者,饑饉者
高才,高材
粉藥,粉劑
戰死,戰歿
鰐科,鰐魚科
腋臭,腋氣
天瓜,瓜蔞
娼婦,粉紅女
彊記,强記
光祿卿,光祿寺卿
判印,印形
掃雪車,除雪車
同朋,親舊
油畫,油彩畫
老蒼,耆艾
官宅,官舍
膽道,輸膽管
蒲公英,地丁
破裂音,閉塞音
虐待,優待
補導,輔導
角干,角粲
垂直面,鉛直面
饑死,飢死
沙蝨蛾,石頭蛾
絲欄,井間
寒疾,感氣
屠漢,屠兒
解體,解剖
基巖,母巖
通官,通譯
白菖,白菖蒲
滅門,沒日
妙思,考案
相撲,撩跤
小祥,朞年祭
聖洗,洗
瘠薄地,磽确
當然,應然
融解,鎔融
愛吟,愛詠
耉老,老蒼
間知石,犬齒石
陰符,音標
癩頭瘡,白禿頭瘡
宮家,九重深處
大陪審,起訴陪審
喀痰,咯痰
鞠子,孩兒
趺坐,半跏趺坐
耳垢,耳塞
投射光,投射光線
華胄,顯裔
黃壚,泉壤
陰地植物,陰性植物
投資者,投資家
納稅,稅納
大輅,輿輦
支那語,中語
九重,宮闈
繼娶,再娶
拒霜,木芙蓉
聲帶結節,結節性聲帶炎
異姓,他姓
無所畏,無畏
警備線,警備網
實習醫,修鍊醫
棋力,碁力
模範,模表
配糖體,戇原質
輿輦,寶駕
頻年,年年
家塾本,坊本
奪占,占奪
秋夜,秋宵
造牌,作牌
戀里,遊廓
外信,外電
總集結,總結集
名義變更,名義書換
餘集合,補集合
敎化皇,敎皇
孫文,孫逸仙
于伐干,伊伐飡
發射角,射角
硅素,珪素
跏趺,跏坐
構成比,構造的比例數
盤渦,旋渦
勝因緣,勝緣
干罰飡,一伐干
居士,淸信士
肉陣,肉屛風
遺傳型,因子型
奠接,奠居
素描,粉本
解座,垓子
慶弔,凶吉
三別抄,左別抄
長鬐岬,冬外串
定星,恒星
眞菌症,絲狀菌症
謄寫機,謄寫版
君石,膽礬
閻羅,閻羅大王
三自銜,奉朝賀
蕃盛,繁茂
同盟國,與國
柞木,樫木
蜥蜴,龍子
絶後,無後
裨將,幕賓
玉秫,玉高粱
巨蟹宮,蟹座
外棺,棺柩
住刻啼禽,思歸鳥
華簡,便紙
會計帳簿,會計帳
阿閦婆,阿閦如來
離背,離反
斷飮,禁酒
慈悲心,慈心
煖衣,暖衣
規則動詞,變則動詞
憩息,休息
牧畜農業,牧農
浸水,沈水
舒發翰,干罰飡
三弦,三絃
宮家,皇宮
轎軍,乘轎
當歲,今年
慾心,欲氣
調標,調記號
人祕,人事祕密
拳固,拳骨
對機說法,隨機說法
遊離魂,遊離靈
管絃房,大樂
拓本,搨本
婉轉,宛轉
坤宮,大內
汚穢之物,汚穢物
始皇帝,始皇
急傾斜線,急斜鐵道
姓孫,後孫
傭兵,雇兵
羈絆,羈縻
知名之士,聞人
男俳優,男優
原子論,原子說
洞神祭,府君祭
權大乘,權大乘敎
消極劑,復極劑
調理法,料理法
樟樹,長木
馬上才,馬技
赤土,石間硃
出席,缺席
彊求,强求
佳壻,令壻
仔細,子細
串柹,白枾
不離不卽,不卽不離
昔遊,曾遊
唯物論,唯心論
家敎,家訓
珠申,肅愼
子孫,後胤
至高至善,至善
冥曹,幽冥
鶬鴰,舂鋤
火兒赤,忽赤
項軟症,項軟
講劘,講磨
蟹糞,胎便
判敎宗師,都大師
猫兒卵,白蘞
藍本,原典
成坏,做坏
臥瓜,金橫瓜
警詘,磬詘
逆對數,眞數
一華,一花
個體,箇體
勝義諦,第一義諦
汀渚,汀濆
奇窮,至貧無依
阿片窟,鴉片窟
無量劫,僧祇
委任者,受任者
二果,一往來果
廁間,淨房
楮實子,構樹子
罷祭祀,破祀
拔解,發解
汀渚,涯岸
酒廳,壚邸
紡機,紡績機械
北邊,北垂
驍名,武名
便紙,緘札
善祥,吉祥
惡疾,惡症
倂設,竝設
貴賓,高賓
無名氏,無名人
詐言,虛辭
豊殖,豐殖
便所,便房
夾房,夾室
夫餘,扶餘
紅絲瘡,風丹
親屬,親族
雨量計,測雨器
內知製敎,外知製敎
名銜,名片
粉靑沙器,粉粧靑灰沙器
望帝,蜀鳥
高等感覺,高等感官
金字,金文字
期望,企望
假令,假使
闕掖,掖庭
宮內,禁裏
永劫,曠劫
蜀魂鳥,不如歸
消寒,銷寒
媚悅,阿媚
委蛇,泥鰍
白蓮社,蓮社
將星,河魁星
尺翰,鯉素
連累,緣累
明年,來年
鞋底魚,靴底魚
內宦,宦官
算術級數,等差級數
祕文,祕密文書
臭蝨,床蝨
秒速度,秒速
十柱戱,十住戱
掃除,掃拭
居甲,居魁
理由,根據
惠書,便紙
掀動,焮動
先入觀,先入之見
精兵,精卒
高潮線,低潮線
化纖,化學纖維
律己,律身
幼子,嬰孩
百僚,百寮
干罰飡,于伐飡
寶駕,乘輿
活東,蛞東
戰艦,兵艦
開白,表白
從順,柔順
烏瓷器,烏瓷
厥陰病,厥陰症
怠慢,勤勉
擔任,擔責
目讀,默讀
一伐干,干伐飡
地獄,極樂
陞品,陞階
繼往開來,繼往聖開來學
撒布灌漑,撒水灌漑
豫定說,宿命論
木稼,樹霜
茶諸具,茶器
銷暑,消夏
板權,出版權
昏睡,人事不省
藩籬,圍擁
忠扈衛,扈衛司
客年,昔年
煖氣,暖氣
簡書,柬書
榮譽感,英譽感
晉州市,晉州
喪服,凶服
委迤,鰌魚
路岐,路跂
田螺,土螺
韓國,大韓民國
信書,書信
魏武帝,曹操
胸曲,胸宇
花紋墻,彫牆
挽角,萬角
銀霜,白靈沙
中山帽,山高帽
殘渣,殘滓
精舍,淨宮
永壽,遐年
軍擾,軍亂
加擔犯,幇助犯
繼走,繼走競技
威脅,威逼
天龍,蜈蚣
硅素鋼,珪素鋼
尙今,于今
猪膽,豬膽
反攻擊,反攻
古物,故物
財産家,財力家
檀香木,眞檀
黎明,旦明
凡人,超人
假本,眞本
尾宿,箒星
新生氣論,活力論
沈思,沈慮
退樑,續樑
騣帽,鬃帽
散賣店,零賣所
看護員,看護師
互相感應,相互感應
樟樹,樟木
單孔類,小笯類
兩括式,雙括式
尊銜,尊啣
慢性,急性
加筓禮,筓禮
暗葬,隱葬
毁訾,詆訾
嵌谷,山洞
痘苗,甘乳
師椽,婦椽
天閃,流電
腋氣,腋臭
碁壇,碁界
短椽,短欐
理髮師,理容師
黨證,黨員證
代父母,神親
逾越節,過越祭
自酌,自酌自飮
雷肆,書筵
初冬,孟冬
封略,烽警
兇險,凶險
凝結,凝固
上臣,上大等
盧子,水廓
奇行,琦行
黑鱧,水厭
梵宇,伽藍
蜀葵花,德頭花
支配,統治
花甲子,花甲
南省試,擧子試
訃告,通訃
雁帛,雁信
瞭然,了然
彌勒座主,彌勒慈尊
抑制,促進
攪亂,搖亂
放漫,偃然
魚膠,魚鰾膠
石雄黃,石黃
共融晶,共融物
躍馬戱,燃燈祭
鴻艫院,通禮院
精鈔本,轉寫本
同工,同巧
標準液,規定液
情語,情話
斑白,半白
齒莖音,齒槽音
山臺劇,山棚戱
下遊星,內行星
洋島,海洋島
巡廻文庫,移動圖書館
宮牆,九重
戎軒,戰爭
孩童,童穉
魔法甁,保溫甁
懇親會,親睦會
定賭,賭只
一佛,阿彌陀如來
時速炎,視神經炎
蜜柑類,柑橘類
蓋弓橑爪,轑爪
儲積,貯積
膜迷路,骨迷路
佝僂,痀瘻
冷情,冷心
電鍍,電解鍍金
視力,視精度
偶爾得中,偶中
球燈,毬燈
通算,通計
冢婦,宗婦
宮宇,宮家
奇型腫,畸形腫
唐冊,唐書
石段,步石
排水路,排水溝
複虛數,複素數
共鳴,肯定
洋溢,海溢
散賣,小賣
偏狹,褊狹
連接杆,連接棒
厚賜,厚貺
閑遊,閒遊
生理痛,月經痛
苦楝實,川楝子
間諜,細作
有年,熟歲
邪道,邪路
丹黍,赤黍
神采,神彩
螺旋階段,螺旋層階
凝縮器,復水器
犬戎,犬夷
靑史,記錄
暗算,空算
苦衷,苦心
建言書,建白書
器具主義,道具主義
寶璽,玉璽
泮製,到記
介冑,鎧冑
夕陽,落照
蜀秫,高粱
尺楮,隻在官
閨怨歌,怨夫詞
遞來,遞歸
基本法,根本法
疑問標,疑問符
加律,加律
陵上,陵墓
兵革,動亂
謁見,謁見
首肯,承諾
野蠻人,土昧人
少皡,少顥
四威儀,四儀
産地,産土
鐵落,鐵屑
統覺檢査,投射法
陜川,陜川郡
稀硫山,稀黃酸
小科,司馬試
彫牆,花紋墻
多量元素,多量養素
半翅類,有吻類
古物廛,故物廛
有胎盤類,胎盤類
香床,香案
墓位畓,墓畓
巡邏軍,卒更軍
吉年,祥年
便道,捷徑
粘液質,淋巴質
汽壓,蒸氣壓
大刀,長刀
雄邑,大邑
竊取,偸取
丹鳳,宮家
導入種,外來種
美學,審美學
平面旋盤,正面旋盤
鸞坡,翰林院
高慢,傲然
火神,吳回
藜鐵,菱鐵
鑛滓綿,鑛滓纖維
噴泉,飛泉
版籍,書典
菩提樹,佛樇
過失,失敗
匹偶,匹耦
旅券,旅行免狀
奉事,盲眼
紅姑娘,紅娘子
小朞,小祥
疣目,白疣
刺胞動物,刺胞類
暗綠,暗綠色
酒豪,酒人
堅果,殼果
論文集,論集
蘆葦,蘆草
尸毘迦王,尸毘迦
燒燈,爝火
貴側,相對便
正日,歲旦
表意字,表意文字
星火,飛星
印章,印形
內地貿易,內國貿易
乾材藥局,乾材局
石距,海鮹子
員水,漢江
脫硫,脫黃
哥老會,哥弟會
冥土,冥境
解産,分娩
宮房,坤宮
文人畫,南宗畫
昇職,陞任
舛雜,舛駁
端本,落帙
椶櫚,棕櫚
偏狹,偏隘
馬廏間,馬房間
倖免,倖而得免
矜恃,自信
麥粒腫,眼瞼炎
減感法,減力法
大嶽,大岳
孽孫,庶孫
烝散,蒸散作用
三牌日,破日
削髮,剃髮
白磁,白瓷
肺眞菌症,放線菌
三體唐詩,三體詩
五方神將,方位神
接待,接遇
條蟲,絛蟲
長星,彗孛
陵丘,丘岡
挂筮,占筮
譏笑,欺笑
麗竪,美童
石灰乳,乳狀石灰
同窓會,校友會
漏泄,漏洩
見本市場,見本市
恐水病,狂犬病
怪鴟,鴟鵂
畏縮,畏怖
因緣,由緣
曲子,麯子
聯筇,連筇
奇想曲,綺想曲
排氣瓣,排出瓣
密嚴國,密嚴淨土
今世界,今世上
僧伽藍摩,僧院
低張溶液,低張液
孱妄,孱拙
獸醫,牛醫
提案權,提出權
王家,王室
天河,銀河
名刺,名銜
先祖,祖上
知經筵,知經筵事
陞職,陞任
入養,入後
塚墓,萬年幽宅
宮中,掖庭
汚穢物,汚物
寸晷,寸陰
有身,妊娠
産災,勞動災害
武談,武勇談
猶子,從子
換切下,平價切下
翠菊,苦薏
從輕論,從重論
肉饍,肉饌
地槐,苦蔘
厚遇,厚待
郵便,郵遞
慘澹,慘憺
鯊魚,鮀魚
資財,資本
非難,指彈
分配,分俳
去番,前者
宮掖,宮殿
生産財,資本財
內胚乳,內乳
媒辭,中槪念
公堂,公衙
放射霧,輻射霧
子癎,兒暈
運命,運勢
經印,捺印
現象論,唯象論
寢殿,丁字閣
細瑣,細微
再侵,再侵略
髓線,射出髓
閻王,閻魔王
仲朔,仲月
烏瓜,天圓子
制咤迦,制咤迦童子
紀念節,記念節
舍館,下宿
無効,無效
嘉俳日,嘉排節
雲漢,河漢
距離尺,緯度尺
歲晩,窮臘
新書,新書籍
官途,官路
腎砂,腎沙
第五部隊,第五列
凶器,凶具
珪素,硅素
變格法,還元法
苦味藥,苦味劑
壽齡,遐年
外知制誥,外制
狂言妄說,狂談悖說
飛流,瀑布
摘奸,擲奸
髑髏,骸骨
仙遺粮,萆薢
公舍,官舍
開發敎授,開發敎育
紺宇,寺宇
譏詗,詗察
逃亡者,逃亡人
板堵婆,窣堵婆
水銀燈,水銀弧燈
法定通貨,法定貨幣
冬鳥,寒禽
私黌,學堂
減速動,減速運動
步兵學校,陸軍步兵學校
宮禁,宮家
幽冥,黃壚
死刑場,法場
暗葬,偸葬
露天採掘,露天掘
草萊,荒地
脊椎,椎骨
軍醫官,醫務將校
勢力均衡,權力平均
靑烟,靑煙
用役産業,流通産業
左捕廳,左邊
名目學說,名目主義
雜錯,錯雜
借用,債用
機能符標,機能標
磨碎,摩碎
硏削盤,練磨機
極放射,星狀體
石梯,石段
番次,番第
冶匠工,冶匠
規定溶液,標準溶液
率濱,率土之濱
結果論,結果說
六塵,六賊
決定,作定
祝酒,祝賀酒
他處,他所
舒發翰,伊伐飡
鐵灸,炙鐵
濾過,瀘過
受諾,拒絶
縛繩,捕繩
後行,圍繞
巨大分子,高分子
仲呂,中呂
削奪官爵,削奪官職
種禾稻,禾苗
前週,昨週
源花徒,花郞徒
全跏坐,結跏
祝聖婚,祝盛典
先物去來,先物賣買
慣性系,惰性系
書籍,載籍
無音放電,無聲放電
殺蟲劑,除蟲藥
恒見圈,恒隱圈
演說者,演說士
復讎策,復讐策
弘基,鴻基
頭低骨,楔狀骨
緊囑,緊託
入超,輸入超過
四種姓,四姓
擔當,擔着
私品,私物
破棄自判,破毁自判
十住戱,十柱戱
衙府,殿衙
面容,面影
豫備調印,假調印
結跏趺坐,全跏坐
沐浴室,浴室
風輪,風廓
流離,漂流
大霧,濃霧
臨時處變,姑息
身軀,體軀
椿壽,大壽
汎濫,汎溢
原積土,定積土
拖白,曳白
缺帙,逸帙
華蟲,山鷄
刻版本,彫版本
意中,心中
餘錄,餘滴
嫡配,嫡妻
道詵庵,道詵寺
芝麻,胡麻
制慾說,節慾說
公衙,官司
誰某誰某,誰也某也
粉筆,白墨
京校,京捕校
鮹魚,梢魚
血師,代赭石
一鍼,一針
灌漑用水,灌漑水
卵分割,卵割
瓢樽,瓢子
疑訝,疑惑
姦通,通姦
推薦書,推薦狀
丹毒,風丹
多量,大量
奴婢,僮指
蘆葦,葭蘆
元旦,元正
增削,增刪
搢紳,縉紳
茶道具,茶具
斷念,絶念
姑娘菜,酸漿
發條,胎葉
應接室,接待室
骨蘇,蘇骨
至今,至于今日
逸帙,殘編
醱酵,醱醅
反數,逆數
海歌詞,海歌
臨湘,長沙
靑華,唐靑華
卓拔,卓犖
點査,點檢
公論,輿論
不動産,固定財産
夜光玉,夜光珠
恩澤,德潤
首肯,否定
半甎,半方甎
獨在論,唯我論
羈縻國,從屬國
禁裏,闕內
彈塗魚,䰶魚
健食家,大食家
大悲院,活人署
廣翼類,大甲類
木版,板刻本
土寇,土猪皮
東南風,巽風
鷲瓦,鴟吻
啄木鳥,啄木
鞭扑,鞭撻
冒器作,匣作
要害處,要害
交媾,性交
解藥,解毒藥
山脚,初地
父系血族,父系親
社會倫理,社會的倫理
異邦,異國
慈氏菩薩,彌勒座主
抵抗爐,抵抗電氣爐
相者,相人
泛舟,泛齊
起訟,起訴
禿頭,突禿
永久乳,成熟乳
折衷主義,複制主義
彈着角,着彈點
舒雁,家雁
靑空,晴空
追陣,追伸
彌勒佛,慈氏菩薩
邊邑,山峽
諳記力,暗記力
振子時計,錘時計
蛺蝶,胡蝶
蠶莓,地苺
耳塞,耳垢
磁力選別,磁氣分離
槲木,靑剛樹
坡州郡,坡州市
咐囑,請囑
守備,攻擊
宜寧,宜寧郡
禹韭,不死草
無所忌憚,無所顧忌
沿岸貿易,沿海商業
優越權,優先權
邊邑,峽中
庫舍,庫房
闕本,殘缺本
瘠薄土,薄土
俯瞰圖,鳥瞰圖
薄俸,薄廩
大家,巨星
紀律,紀律
邸宅,第館
谷磵,谷澗
標集,標本
凌雲,陵雲
當座手票,當手
葷粥,獯鬻
五衛將,衛將
特別負擔,分擔金
牙子,狼齒
衣纏,衣服
餞飮,餞杯
鉗徒,鉗子
昏睡,昏恍
海鮹子,絡蹄
酒樓,酒肆
拳術,拳法
下椽,野椽
委身,獻身
閨愛,令嬌
宮殿,龍闕
交叉脈,交互脈
三胎子,三生兒
枉駕,寶駕
違憲性,合憲性
氷溫期,氷間期
闕失,過怠
官隷,官下人
旦暮,平常
硬質陶器,長石質陶器
局量,器宇
砂混機,混砂機
藏識,阿賴耶識
脾鐋,邊鐋
香卓,香爐床
篆籒,大篆
茶金釉,砂金石釉
製圖器械,製圖器
食代,食費
食料品,食品
東廂禮,東床禮
燐火,神火
劍客,劍術師
逢豐,逢年
宇宙兵器,宇宙武器
急斜鐵道,急傾斜線
陵畓,陵蔑
壯語,莊言
菩薩僧,當來導師
猫兒刺,枸骨
別莊,別宅
輕薄,迂妄
日曜日,日曜
過失犯,無意犯
乾太,北魚
妄舌,虛說
覘望,伺候
蓮社,白蓮社
禁苑,祕苑
般若心經,波羅蜜
烝散,蒸散
甄差,甄復
大秤,斤秤
浪費,濫費
黨員,黨人
軍士,兵卒
同盟罷工,同盟罷業
榮譽,光譽
包子,饅頭
脂肪油,脂油
防遏,防塞
猶子,姪兒
彈劾主義,糾問主義
寡慾,小慾
詞緣,辭緣
權門貴族,權貴
政堂,政閣
禁城,九重
伺望,伺候
疇曩,前次
甘署,甘藷
私信,私札
漣波,細漣
雌雄同家,雌雄一家
禪宮,精舍
冷菓店,氷菓店
磽瘠,荒土
膽石,膽結石
畏忌,畏憚
密勅,內勅
精妙,微妙
新民謠,近代謠
輕妄,輕率
勞思,焦勞
地域的,地緣的
木魚,木鐸
至窮且窮,極窮
勝劣,優劣
葉綠粒,葉綠體
鈍夫,鈍漢
辯協,辯護士協會
騎士精神,騎士道
宮禁,龍闕
軍銜,軍職
前生,前世
程明道,程顥
人蔘煎果,人蔘正果
發程,出發
毛竅,毛穴
複利法,複利計算
筆記試驗,口頭試驗
西班,武班
水濱,汀濆
膠質化學,膠質學
敎旨,官誥
采女,宮女
住刻啼禽,杜宇
誦記,暗誦
十二牽通,十二因緣
馬銜,銜勒
瓦鼓,旌鼓
狼火,烽火
剽盜,剽掠
蒼頡,倉頡
大臼齒,大牙
眷黨,親戚
反譯,飜譯
古迹,古迹地
流砂,漂砂
桂林,美林
途中記,道中記
聽許法,聽任法
丁字,丁字形
片紙,尺簡
蔥翠靑,鸚哥綠
夜間勤勞,深夜業
前分,前緣
喜悅,喜樂
刀布,刀泉
懲求,責徵
京輦,都府
山洞,山村
復讎彈,復讐彈
淆亂,溷亂
白旗,白幟
我禮曲,景安之樂
東海夫人,紅蛤
動態,靜態
譏刺,誹謗
劍術師,劍客
復極劑,減極劑
大病,中病
詞林,文壇
賭租,執粗
恒溫帶,恒溫層
鶬鷺,舂鋤
大壽,長壽
忘憂,忘憂物
陳荒地,不毛地
蔓橫,言弄
旃檀,栴檀
友人,朋友
外來種,導入育種
過冷却,過冷
鬼箭羽,衛矛
尸毘王,尸毘
寢食,眠食
大葉柞,大葉櫟
改宗,改敎
采箋,彩牋紙
軍用票,軍票
澤雨,滋雨
京兆,京府
失錯,過怠
勇士,猛士
木果,木實
歎哭,嘆哭
落魄,零落
知事,道知事
允諧,允協
莊言,壯語
陞職,陞遷
巨刹,大刹
佳壻,東牀
寶鑑,寶鏡
惰性系,慣性座標系
入衆,入陣
小兒論,新釋小兒論
重腫,舌腫
平等相續,均分相續
稅錢,稅金
抗體,免疫體
心疳,驚疳
尊函,貴函
穩健派,軟派
皇族,皇親
紫地,紫芝
琴高,白鯉
殺戮,戮殺
仕途,官路
生雉饅頭,雉肉煎油花
私第,私邸
水畓,水田
寺宇,寺門
移替,交替
冷神,冷官
閨房,惟房
甘言,苦言
徵事郞,徵仕郞
行政書士,行政代書人
俱生起,俱生
鷄糞白,鷄屎白
